Płeć,Wiek,Wykształcenie,Średnie Zarobki,Czas Początkowy Podróży,Czas Końcowy Podróży,Cel Podróży
Kobieta,25.0,Wyższe,3084.07,23:55,01:37,Inne
Kobieta,55.0,Podstawowe,3231.22,20:31,05:46,Zakupy
Kobieta,,Podstawowe,9195.26,17:50,22:18,Praca
Mężczyzna,32.0,Wyższe,12214.93,20:22,21:32,Inne
Mężczyzna,38.0,Wyższe,5826.16,23:19,09:36,Zakupy
Mężczyzna,25.0,Wyższe,13690.31,08:19,08:59,Zakupy
,48.0,,6713.76,,,
Mężczyzna,38.0,Średnie,7613.89,07:00,13:38,Edukacja
Mężczyzna,36.0,Podstawowe,6148.82,13:33,23:09,Zakupy
Mężczyzna,63.0,Średnie,9688.46,18:21,04:45,Inne
Mężczyzna,45.0,Średnie,6931.71,08:34,16:06,
Mężczyzna,66.0,Wyższe,6139.87,10:42,21:04,Edukacja
Kobieta,36.0,Wyższe,13261.67,20:04,04:04,Zakupy
Kobieta,62.0,Wyższe,4103.61,21:06,01:06,Rozrywka
Mężczyzna,55.0,Wyższe,9099.72,10:04,16:22,Rozrywka
Kobieta,44.0,Podstawowe,6446.71,18:39,,Edukacja
Mężczyzna,35.0,Podstawowe,8683.33,05:08,15:57,Praca
Mężczyzna,50.0,Podstawowe,9693.84,05:57,15:01,Praca
Kobieta,29.0,Podstawowe,7060.24,10:59,13:30,Rozrywka
Mężczyzna,53.0,Średnie,7126.02,07:07,09:46,Praca
Mężczyzna,33.0,Wyższe,12090.42,13:25,00:08,Edukacja
Kobieta,54.0,Średnie,3999.58,10:41,12:28,Rozrywka
Kobieta,39.0,Wyższe,11334.06,22:53,23:17,Rozrywka
Mężczyzna,40.0,Średnie,3566.55,13:32,00:26,Edukacja
Kobieta,69.0,Średnie,4401.73,17:20,22:55,Edukacja
Kobieta,28.0,Średnie,4367.86,16:11,21:57,Zakupy
Mężczyzna,50.0,Podstawowe,10234.58,05:33,14:47,Inne
Kobieta,25.0,Wyższe,11251.93,23:17,00:44,Zakupy
Mężczyzna,25.0,Średnie,11004.33,08:47,10:09,Zakupy
Mężczyzna,46.0,Średnie,12151.96,20:00,01:59,Praca
Kobieta,37.0,Podstawowe,9929.97,05:03,08:39,Praca
Kobieta,61.0,Podstawowe,12041.55,22:01,03:18,Rozrywka
Kobieta,65.0,Podstawowe,9109.91,15:03,17:45,Edukacja
Mężczyzna,63.0,Średnie,10192.24,21:17,05:06,Edukacja
Kobieta,29.0,Wyższe,7807.16,20:42,21:21,Inne
Kobieta,49.0,Podstawowe,9089.03,14:47,22:50,Zakupy
Kobieta,64.0,Średnie,11081.47,13:55,13:14,Zakupy
Mężczyzna,27.0,Podstawowe,11589.43,19:01,02:58,Inne
Mężczyzna,30.0,Wyższe,6155.43,23:49,02:10,Praca
Kobieta,38.0,Wyższe,9074.73,13:42,22:58,Inne
Mężczyzna,18.0,Wyższe,4330.69,23:58,01:51,Edukacja
Kobieta,56.0,Średnie,5612.43,22:32,02:57,Rozrywka
Kobieta,37.0,Podstawowe,6323.8,09:26,16:51,Rozrywka
Kobieta,65.0,Wyższe,11454.48,08:33,10:43,Edukacja
Kobieta,57.0,Średnie,11852.4,18:29,21:19,Inne
Mężczyzna,42.0,Podstawowe,13847.51,22:06,06:07,Praca
Mężczyzna,66.0,Podstawowe,4847.44,22:26,08:27,Praca
Mężczyzna,18.0,Średnie,8635.26,14:07,21:05,Edukacja
Mężczyzna,58.0,Wyższe,4321.67,20:04,06:26,Praca
Mężczyzna,65.0,Średnie,10852.14,17:46,00:56,Rozrywka
Kobieta,45.0,Wyższe,8832.41,06:17,07:31,Inne
Kobieta,40.0,Wyższe,11398.87,06:09,13:11,Rozrywka
Mężczyzna,52.0,Wyższe,5297.3,22:19,07:39,Rozrywka
Kobieta,,,,19:59,,
Mężczyzna,22.0,Podstawowe,3191.98,13:01,16:58,Inne
Mężczyzna,67.0,Wyższe,14524.72,17:27,02:53,Inne
Mężczyzna,46.0,Średnie,8772.2,10:21,14:52,Zakupy
Mężczyzna,23.0,Wyższe,10699.13,19:49,05:17,Praca
Mężczyzna,37.0,Średnie,14982.36,10:41,23:44,Inne
Kobieta,51.0,Podstawowe,4854.99,17:12,04:47,Rozrywka
Mężczyzna,40.0,Podstawowe,4661.61,07:48,15:38,Praca
Mężczyzna,37.0,Podstawowe,6672.39,05:26,08:48,Inne
Mężczyzna,,Wyższe,5475.39,06:58,16:16,Edukacja
Mężczyzna,57.0,Średnie,7479.17,07:35,10:37,Praca
Kobieta,20.0,Średnie,5466.24,18:24,02:44,Zakupy
Kobieta,44.0,Podstawowe,13438.61,15:39,16:18,Praca
Mężczyzna,27.0,Podstawowe,5709.44,13:54,22:31,Zakupy
Kobieta,51.0,Podstawowe,7277.16,08:25,17:13,Inne
Kobieta,44.0,Średnie,4754.01,09:46,18:59,Zakupy
Kobieta,43.0,Średnie,8298.46,14:12,20:15,Edukacja
Mężczyzna,65.0,Podstawowe,11574.54,22:50,02:44,Edukacja
Kobieta,24.0,Wyższe,14510.48,06:06,14:43,Praca
Kobieta,36.0,Podstawowe,11806.73,20:25,22:32,Edukacja
Kobieta,52.0,Wyższe,6547.34,10:17,10:08,Rozrywka
Kobieta,63.0,Wyższe,8632.01,15:48,22:37,Zakupy
Mężczyzna,61.0,Wyższe,4483.71,14:34,15:04,Praca
Kobieta,31.0,Wyższe,11975.8,21:44,07:13,Zakupy
Kobieta,62.0,Wyższe,14762.03,07:59,13:42,Inne
Mężczyzna,25.0,Średnie,8388.85,21:47,21:08,Inne
Mężczyzna,51.0,Średnie,7802.51,19:50,22:55,Zakupy
Mężczyzna,61.0,Średnie,4564.51,05:42,05:28,Praca
Kobieta,30.0,Wyższe,8354.55,06:59,16:06,Inne
Mężczyzna,64.0,Średnie,5916.44,14:12,01:06,Inne
Mężczyzna,48.0,Wyższe,11728.25,21:25,04:41,Rozrywka
Kobieta,58.0,Podstawowe,12928.42,12:27,14:26,Inne
Mężczyzna,61.0,,6085.86,08:43,14:06,Zakupy
Mężczyzna,29.0,Podstawowe,11274.4,14:39,15:22,Inne
Mężczyzna,60.0,Wyższe,8141.73,07:00,16:45,Edukacja
Kobieta,57.0,Wyższe,4890.12,23:48,07:44,Rozrywka
Kobieta,47.0,Podstawowe,14847.76,17:14,03:46,Edukacja
Kobieta,54.0,Średnie,5288.34,21:09,07:06,Praca
Mężczyzna,61.0,Wyższe,4039.64,18:30,00:06,Inne
Mężczyzna,66.0,Średnie,3399.54,05:39,06:40,Inne
Kobieta,33.0,Podstawowe,13640.56,19:00,03:37,Inne
Mężczyzna,28.0,Średnie,12472.84,16:02,19:51,Praca
Mężczyzna,28.0,Wyższe,7002.1,05:30,10:12,Edukacja
Kobieta,64.0,Podstawowe,6763.5,18:35,22:37,Inne
Mężczyzna,52.0,Średnie,5026.92,20:27,05:54,Edukacja
Mężczyzna,66.0,Podstawowe,10047.24,11:59,22:07,Praca
Mężczyzna,43.0,Średnie,8626.04,19:21,02:14,Inne
Mężczyzna,52.0,Wyższe,12457.15,14:41,23:25,Inne
Kobieta,68.0,Wyższe,13851.12,13:54,19:45,Praca
Kobieta,20.0,Wyższe,5451.84,14:15,20:01,Praca
Kobieta,41.0,Podstawowe,6431.94,12:30,23:03,Edukacja
Mężczyzna,36.0,Średnie,4338.15,15:43,01:39,Edukacja
Kobieta,32.0,Średnie,11023.91,21:16,05:02,Rozrywka
Mężczyzna,53.0,Wyższe,7615.4,12:17,20:17,Praca
Mężczyzna,66.0,Wyższe,7854.61,20:40,23:22,Rozrywka
Kobieta,60.0,Średnie,3136.14,09:52,14:12,Zakupy
Kobieta,42.0,Wyższe,10843.89,11:18,22:18,Inne
Mężczyzna,40.0,Średnie,12141.25,14:03,23:48,Rozrywka
Kobieta,42.0,Średnie,6648.73,22:19,03:04,Edukacja
Kobieta,63.0,Średnie,10760.76,23:49,04:54,Praca
Kobieta,33.0,Wyższe,13453.32,06:23,08:16,Praca
Mężczyzna,40.0,Wyższe,8111.97,06:25,11:33,Edukacja
Kobieta,51.0,Wyższe,12037.11,09:41,12:11,Edukacja
Kobieta,42.0,Wyższe,14603.75,14:34,23:01,Zakupy
Kobieta,61.0,Podstawowe,12636.07,21:49,06:08,Edukacja
Mężczyzna,28.0,Podstawowe,4265.11,17:13,19:29,Edukacja
Mężczyzna,44.0,Podstawowe,3345.23,19:20,06:25,Rozrywka
Mężczyzna,55.0,Średnie,7710.33,21:23,03:37,Praca
Kobieta,55.0,Podstawowe,12231.15,08:06,09:39,Zakupy
Kobieta,37.0,Podstawowe,13671.85,10:05,15:06,Zakupy
,70.0,Podstawowe,11160.86,,01:36,Inne
Kobieta,32.0,Podstawowe,4660.39,15:44,00:07,Inne
Kobieta,31.0,Podstawowe,14105.34,09:05,15:20,Rozrywka
Mężczyzna,38.0,Podstawowe,13444.66,07:47,10:44,Inne
Mężczyzna,29.0,Podstawowe,7710.86,13:20,00:36,Edukacja
Mężczyzna,25.0,Wyższe,,13:23,23:19,Praca
Mężczyzna,70.0,Wyższe,11693.25,20:50,00:28,Zakupy
Kobieta,51.0,Podstawowe,6739.82,22:21,06:10,Rozrywka
Mężczyzna,46.0,Wyższe,9880.31,10:48,14:59,Inne
Mężczyzna,57.0,Podstawowe,7457.37,16:38,,Edukacja
Kobieta,21.0,Wyższe,14873.58,12:17,16:35,Edukacja
Mężczyzna,36.0,Podstawowe,6712.07,13:10,14:15,Rozrywka
Mężczyzna,65.0,Podstawowe,7496.94,14:34,14:59,Zakupy
Kobieta,27.0,Średnie,4432.73,15:36,22:15,Rozrywka
Kobieta,52.0,Podstawowe,10225.17,13:22,18:39,Inne
Mężczyzna,69.0,Średnie,8009.11,07:39,17:49,Edukacja
Mężczyzna,47.0,Średnie,6302.51,17:53,01:33,Zakupy
Kobieta,42.0,Podstawowe,9811.19,13:31,21:57,Zakupy
,,,,13:01,,Inne
Mężczyzna,53.0,Podstawowe,10117.28,22:40,04:54,Rozrywka
Kobieta,26.0,Wyższe,12112.22,14:28,01:51,Praca
Mężczyzna,40.0,Średnie,8715.5,06:47,14:39,Inne
Mężczyzna,55.0,Podstawowe,4428.7,12:34,15:44,Inne
Kobieta,70.0,Wyższe,10668.52,07:00,08:05,Inne
Kobieta,,,,21:02,,
Mężczyzna,26.0,Średnie,10853.85,09:37,16:23,Inne
Mężczyzna,50.0,Podstawowe,10616.31,11:08,16:38,Rozrywka
Mężczyzna,43.0,Podstawowe,6187.11,22:41,00:12,Inne
Kobieta,25.0,Wyższe,7893.21,21:47,07:12,Inne
Kobieta,65.0,Podstawowe,7953.24,10:21,14:36,Inne
Kobieta,18.0,Średnie,5466.24,11:42,11:41,Inne
Kobieta,64.0,Podstawowe,,08:27,19:48,
Kobieta,19.0,Podstawowe,6528.65,10:24,14:27,Inne
Mężczyzna,43.0,Podstawowe,13503.4,19:40,01:57,Praca
Mężczyzna,32.0,Podstawowe,5708.75,11:59,17:33,Edukacja
Kobieta,51.0,Podstawowe,13115.83,20:05,00:27,Inne
Mężczyzna,31.0,Średnie,5535.2,19:48,01:37,Inne
Kobieta,62.0,Wyższe,8228.31,06:48,08:28,Praca
Kobieta,39.0,Wyższe,9175.45,10:38,21:30,Rozrywka
Mężczyzna,66.0,Podstawowe,6521.17,19:04,22:36,Zakupy
Mężczyzna,38.0,Średnie,10422.1,15:46,02:26,Inne
Mężczyzna,40.0,Średnie,4590.36,13:20,20:31,Inne
Kobieta,49.0,Średnie,6415.11,25:08,00:22,Edukacja
Mężczyzna,22.0,Podstawowe,12206.77,07:49,18:45,Inne
Mężczyzna,69.0,Średnie,6301.84,19:32,23:53,Rozrywka
Mężczyzna,22.0,Wyższe,4767.46,19:38,02:00,Edukacja
Kobieta,47.0,Podstawowe,9366.08,20:22,21:23,Rozrywka
Kobieta,35.0,Wyższe,8078.34,13:20,17:37,Zakupy
Mężczyzna,29.0,Wyższe,13675.12,14:20,22:30,Rozrywka
Mężczyzna,23.0,Wyższe,3415.46,18:06,03:00,Praca
Mężczyzna,21.0,Średnie,14331.36,08:43,08:52,Praca
Mężczyzna,55.0,Średnie,10818.04,06:02,16:27,Praca
Kobieta,20.0,Wyższe,14406.08,09:09,13:33,Edukacja
,42.0,Wyższe,8319.74,22:51,08:56,Edukacja
Mężczyzna,21.0,Średnie,13331.91,14:37,19:06,Edukacja
Mężczyzna,56.0,Wyższe,7871.11,16:08,19:04,Edukacja
Mężczyzna,41.0,Średnie,3084.05,05:40,12:27,Zakupy
Kobieta,48.0,Średnie,13069.17,13:41,13:49,Edukacja
Mężczyzna,27.0,Podstawowe,8734.03,08:05,11:27,Edukacja
Kobieta,38.0,Podstawowe,4903.99,09:39,12:03,Inne
Kobieta,33.0,Średnie,13871.91,14:10,21:56,Edukacja
Mężczyzna,34.0,Podstawowe,11396.78,10:58,10:11,Rozrywka
Mężczyzna,67.0,Wyższe,3776.34,20:07,04:31,Praca
Mężczyzna,46.0,Średnie,10792.65,07:27,,Inne
Kobieta,42.0,Średnie,,12:59,17:53,Zakupy
Kobieta,45.0,Wyższe,10254.12,05:29,08:32,Rozrywka
Kobieta,35.0,Wyższe,8447.82,21:11,03:52,Praca
Mężczyzna,37.0,Średnie,4148.62,23:35,23:10,Inne
Kobieta,38.0,Wyższe,3818.17,17:23,22:15,Rozrywka
Kobieta,39.0,Wyższe,12196.45,12:45,18:31,Praca
Mężczyzna,59.0,Wyższe,12747.1,21:50,03:17,Zakupy
Mężczyzna,23.0,Średnie,10285.45,10:04,18:13,Inne
Kobieta,45.0,Wyższe,8139.31,05:12,11:55,Edukacja
Mężczyzna,47.0,Podstawowe,11150.89,08:35,16:02,Rozrywka
Mężczyzna,61.0,Podstawowe,10317.71,11:44,12:39,Zakupy
Kobieta,38.0,Średnie,4415.48,07:04,09:10,Zakupy
Mężczyzna,62.0,Podstawowe,14402.53,22:46,01:10,Praca
Mężczyzna,62.0,Podstawowe,7505.72,23:52,23:47,Inne
Kobieta,18.0,Średnie,11029.45,13:11,22:09,Zakupy
Mężczyzna,64.0,,4460.98,21:19,06:42,Zakupy
Mężczyzna,53.0,Wyższe,14879.94,22:14,11:38,Praca
Mężczyzna,20.0,Podstawowe,4965.13,16:17,20:29,Rozrywka
Mężczyzna,45.0,Średnie,12913.44,22:34,06:07,Inne
Mężczyzna,66.0,Wyższe,6389.25,06:56,06:21,Edukacja
Kobieta,58.0,Średnie,11842.93,17:07,03:12,Inne
Mężczyzna,38.0,Wyższe,5878.93,10:11,12:04,Inne
Mężczyzna,65.0,Średnie,7079.77,14:46,21:59,Rozrywka
Kobieta,43.0,Podstawowe,3809.09,14:12,17:10,Rozrywka
Kobieta,66.0,Podstawowe,6885.03,11:38,15:08,Rozrywka
Kobieta,49.0,Podstawowe,12018.67,14:17,19:00,Edukacja
Kobieta,36.0,Podstawowe,13931.57,10:49,12:50,Praca
Mężczyzna,57.0,Wyższe,12381.37,07:35,12:32,Rozrywka
Kobieta,58.0,Wyższe,4538.1,06:00,12:00,Rozrywka
Kobieta,40.0,Średnie,6965.82,15:25,02:54,Rozrywka
Kobieta,29.0,Podstawowe,5769.94,06:24,13:16,Zakupy
,52.0,Wyższe,,,,
Kobieta,25.0,Podstawowe,12935.94,13:00,19:22,Rozrywka
Kobieta,55.0,Średnie,5371.17,05:40,09:31,Rozrywka
Mężczyzna,42.0,Średnie,13631.02,08:48,18:24,Edukacja
Mężczyzna,52.0,Wyższe,5481.53,19:19,06:07,Zakupy
Mężczyzna,41.0,Średnie,13604.11,16:56,03:39,Inne
Mężczyzna,55.0,Średnie,14330.53,23:21,06:43,Praca
Mężczyzna,28.0,Podstawowe,7347.93,22:49,06:20,Edukacja
Kobieta,62.0,Podstawowe,3500.21,30:35,17:55,Zakupy
Kobieta,31.0,Średnie,10910.84,22:11,06:21,Inne
Kobieta,38.0,Wyższe,10960.5,09:01,17:51,Rozrywka
Kobieta,47.0,Wyższe,4306.64,05:27,15:03,Rozrywka
